iter	Passed	Remaining
764	33395	765	33765	33434	766	33766	33477	767	33767	33521	768	33768	33564	769	33769	33607	770	33770	33653	771	33771	33700	772	33772	33744	773	33773	33786	774	33774	33825	775	33775	33866	776	33776	33908	777	33777	33952	778	33778	33996	779	34779	34038	780	34780	34086	781	34781	34132	782	34782	34172	783	34783	34216	784	34784	34264	785	34785	34309	786	34786	34352	787	34787	34395	788	34788	34437	789	34789	34482	790	34790	34527	791	34791	34573	792	34792	34615	793	34793	34658	794	34794	34697	795	34795	34743	796	34796	34790	797	34797	34835	76872
798	34877	799	34799	34918	800	34800	34957	801	34801	35000	802	35802	35043	803	35803	35088	804	35804	35133	805	35805	35173	806	35806	35223	807	35807	35269	808	35808	35314	76391
809	35356	76343
810	35395	811	35811	35439	812	35812	35486	76210
813	35529	76165
814	35569	76113
815	35611	76068
816	35655	76024
817	35705	75993
818	35749	75951
819	35791	75903
820	35832	75854
821	35875	75810
822	35918	75765
823	35966	75729
824	36011	75689
825	36060	75656
826	36105	75616
827	36158	75591
828	36200	75544
829	36250	75513
830	36296	75474
831	36340	75432
832	36390	833	36833	36431	834	36834	36471	75301
835	36515	836	36836	36561	75220
837	36607	75180
838	36653	75141
839	36702	75109
840	36746	75066
841	36792	75027
842	36831	74973
843	36873	74926
844	36917	74883
845	36960	74838
846	36999	74785
847	37038	74731
848	37079	74682
849	37122	74638
850	37164	74591
851	37206	74543
852	37249	74498
853	37293	74455
854	37335	74409
855	37376	74359
856	37414	74304
857	37453	74252
858	37490	74196
859	37531	74146
860	37577	74108
861	37621	74064
862	37664	74020
863	37710	73980
864	37754	73937
865	37800	73899
866	37848	73863
867	37894	73824
868	37943	73791
869	37989	73752
870	38033	73709
871	38077	73666
872	38122	73625
873	38160	73569
874	38200	73519
875	38242	73473
876	38285	73427
877	38324	73374
878	38368	73331
879	38409	73282
880	38458	73250
881	38503	73208
882	38543	73158
883	38585	73110
884	38659	73125
885	38716	73107
886	38762	73067
887	38810	73031
888	38857	72993
889	38901	72952
890	38953	72923
891	39001	72886
892	39046	72845
893	39094	72810
894	39148	72785
895	39196	72749
896	39246	72717
897	39290	72675
898	39345	72651
899	39395	72619
900	39443	72582
901	39495	72554
902	39542	72515
903	39588	72476
904	39635	72439
905	39684	72404
906	39734	72372
907	39781	72334
908	39828	72296
909	39870	72249
910	39911	72200
911	39954	72155
912	40004	72121
913	40055	72090
914	40106	72060
915	40155	72025
916	40196	71977
917	40239	71931
918	40281	71884
919	40324	71839
920	40380	71817
921	40431	71785
922	40481	71752
923	40527	71712
924	40576	71678
925	40624	71641
926	40667	71596
927	40710	71550
928	40748	71497
929	40792	71452
930	40836	71409
931	40879	71363
932	40919	71312
933	40961	71266
934	41009	71229
935	41065	71205
936	41119	71180
937	41171	71150
938	41218	71111
939	41263	71070
940	41310	71031
941	41353	70985
942	41403	70952
943	41450	70914
944	41492	70867
945	41543	70834
946	41589	70793
947	41633	70749
948	41675	70702
949	41721	70663
950	41766	70621
951	41809	70576
952	41852	70529
953	41892	70478
954	41936	70435
955	41976	70385
956	42019	70339
957	42063	70295
958	42108	70253
959	42152	70211
960	42197	70167
961	42241	70124
962	42281	70074
963	42324	70028
964	42365	69979
965	42406	69931
966	42451	69889
967	42494	69844
968	42540	69802
969	42577	69747
970	42619	69701
971	42664	69658
972	42708	69615
973	42754	69575
974	42796	69528
975	42841	69485
976	42881	69436
977	42921	69385
978	42961	69335
979	43009	69297
980	43058	69262
981	43101	69217
982	43142	69169
983	43192	69133
984	43231	69082
985	43275	69038
986	43316	68990
987	43359	68945
988	43395	68888
989	43442	68849
990	43488	68809
991	43528	68759
992	43572	68714
993	43618	68674
994	43661	68629
995	43705	68585
996	43755	68552
997	43798	68506
998	43844	68465
999	43889	68423
1000	43927	68370
1001	43967	68320
1002	44009	68273
1003	44050	68226
1004	44091	68176
1005	44133	68129
1006	44177	68087
1007	44224	68047
1008	44265	68000
1009	44308	67954
1010	44357	67917
1011	44402	67875
1012	44451	67840
1013	44503	67807
1014	44551	67770
1015	44596	67728
1016	44638	67681
1017	44680	67635
1018	44728	67597
1019	44774	67557
1020	44818	67513
1021	44860	67466
1022	44902	67419
1023	44945	67374
1024	44988	67329
1025	45028	67279
1026	45073	67237
1027	45116	67192
1028	45161	67150
1029	45202	67101
1030	45246	67058
1031	45283	67003
1032	45326	66958
1033	45371	66917
1034	45415	66872
1035	45461	66831
1036	45500	66781
1037	45545	66738
1038	45592	66698
1039	45629	66645
1040	45671	66598
